,text,y
0,"Не увидел. Все, что ожидал от этого телефона в этом корпусе уместилось, причем телефон легче и тоньше своего предшественника. ",0
1,"- Очень туго открывается задняя крышка. - Несколько запутанное меню. Сам не нашёл вариантов отправления СМС, хотя опыт общения с мобильными телефонами почти 20 лет.- Нет возможности поставить отдельную мелодию на каждый контакт. Раньше это можно было делать даже в самых дешёвых моделях.- Батарея так себе. При весьма среднем только общении без инета, музыки, камеры начинает подавать сигналы о разрядке дня через два-три. При этом может продержаться ещё сутки и больше. Но сигнал регулярно зудит каждый час.- Слабая вибрация, скорее жужжание какое-то.- Цена завышена в 1.5 - 2 раза.  ",0
2,Нет эквалайзера в плеере,0
3,"Не советую покупать. Производитель выпустил неудачное обновление, превратив телефон в обычную звонилка, мессенджерами стало невозможно пользоваться. Отзывную компанию не проводит, свою ошибку не признает",0
4,"После обновления до андроид 10 все приложения, кроме приложений Гугла, перестали работать в фоновом режиме, в результате чего не приходят push-уведомления от приложений ватсап, сбербанк, телеграмм, Вайбер, ВКонтакте и т.д. Обращения в службу поддержки Nokia не дают результата, обращался несколько раз. Сначала советуют проверять настройки телефона, а когда все способы перепробованы, отвечают ""передадим информацию коллегам, выпустят обновление с исправлениями"". Но вместо исправления 10 андроида, выпустили уже два раза обновление системы безопасности.",0
5,Не нашли.,0
6,Пока не нет. ,0
7,Слабая батарея,0
8,"Слабоватые камеры, обе. Сильно греется при активном использовании. Нет наушников в комплекте. ",0
9,"по прошествии 5 мес. стала почему то батарейка быстро разряжаться, кончно может прог по натыкала лишних.. не знаю",0
10,Не стал бы снова покупать,0
11,Батареи хватает на 4 часа.,0
12,Не обнаружил пока,0
13,"Тупит и долго думает при работе с приложениями из PlayMarket, слабовато, видимо, ""железо"" для соцсетей.",0
14,Старый разъем для зарядки.,0
15,Из коробки не очень хорошо работает датчик приближения. Но всё настраивается благодаря you tube. Кто не может настроить тот рукажоп!!,0
16,Если вы любитель селфи камера слабая,0
17,Нет,0
18,Пока не обнаружила! ,0
19,"Посмотрел отзывы в инете, много людей с такой же проблемой как у меня,но есть и хорошие отзывы о данной модели. Скорее всего из бракованной партии попался",0
20,"через 6 часов после приобретения смартфон начал перезагружаться сам (3-6 РАЗ НА ДЕНЬ)чуть позже вовсе завис. решил отнести его обратно(не прошло даже 48 часов) в салон связи БИЛАЙН. Поменять отказались,деньги возвращать тоже не хотят. Придётся решать в судебном порядке.",0
21,Не тянет заявленные характеристики.Впечатления? Их нет.,0
